origen,destino,linea_origen,linea_destino,franja_horaria,dia_semana,es_festivo,distancia_km,misma_linea,origen_es_transbordo,destino_es_transbordo,ocupacion_vagon,tiempo_espera_min,num_paradas_estimadas,tarifa_cop,requiere_transbordo,congestion_alta
Trece de Noviembre,Hospital,M,A,madrugada,6,0,2.553,0,0,0,0.13,11,5,3300,1,0
Universidad,Andalucía,A,K,madrugada,5,0,3.946,0,0,0,0.14,8,3,3300,1,0
Industriales,Aguacatala,A,A,tarde_valle,5,0,3.344,1,0,0,0.26,5,18,3300,0,0
Alejandro Echavarría,Poblado,T,A,tarde_pico,5,0,4.758,0,0,0,0.77,2,6,3300,1,1
Bicentenario,Floresta,T,B,mañana_valle,2,0,5.817,0,0,0,0.35,6,4,3300,1,0
Caribe,Miraflores,A,T,madrugada,3,0,3.561,0,0,1,0.18,12,2,3300,1,0
Loyola,Andalucía,T,K,madrugada,4,0,6.932,0,0,0,0.11,12,12,3300,1,0
Villa Sierra,Exposiciones,K,A,noche,1,0,8.008,0,0,0,0.16,7,10,3300,1,1
Caribe,Aguacatala,A,A,madrugada,4,0,8.652,1,0,0,0.13,13,6,3300,0,0
Trinidad,Santa Lucía,B,B,mañana_pico,6,0,0.756,1,0,0,0.82,2,6,3300,0,1
La Aurora,Aguacatala,J,A,mañana_pico,4,0,9.886,0,0,0,0.84,3,11,3300,1,1
Acevedo,Aguacatala,A,A,madrugada,7,0,11.203,1,1,0,0.13,11,11,3300,0,0
Industriales,Juan XXIII,A,J,tarde_pico,6,0,5.204,0,0,0,0.81,4,5,3300,1,1
Aguacatala,Villa Sierra,A,K,tarde_valle,3,0,12.002,0,0,0,0.44,7,13,3300,1,0
Trinidad,Poblado,B,A,mañana_pico,5,0,4.259,0,0,0,0.87,2,4,3300,1,1
Parque Berrío,La Sierra,A,M,mañana_pico,7,0,2.569,0,0,0,0.9,5,13,3300,1,1
Santo Domingo,Loyola,K,T,tarde_valle,3,0,7.156,0,1,0,0.49,4,4,3300,1,0
La Aurora,Envigado,J,A,noche,3,0,11.161,0,0,0,0.17,9,6,3300,1,0
Loyola,Niquía,T,A,noche,6,0,12.976,0,0,0,0.2,10,6,3300,1,0
Juan XXIII,Universidad,J,A,noche,3,0,6.023,0,0,0,0.32,10,7,3300,1,0
Parque Berrío,Suramericana,A,B,mañana_pico,5,0,1.723,0,0,0,0.99,2,11,3300,1,1
Oriente,Bello,T,A,madrugada,3,0,12.145,0,0,0,0.19,12,8,3300,1,0
Acevedo,Ayurá,A,A,tarde_valle,1,0,12.484,1,1,0,0.27,7,3,3300,0,0
La Aurora,Prado,J,A,mañana_pico,6,0,7.99,0,0,0,0.87,3,9,3300,1,1
Vallejuelos,Arví,J,L,tarde_pico,2,0,15.002,0,0,0,0.93,3,10,3300,1,1
Miraflores,Trinidad,T,B,tarde_pico,5,0,3.125,0,1,0,0.81,3,8,3300,1,1
Tricentenario,Santa Lucía,A,B,madrugada,5,0,5.161,0,0,0,0.16,11,1,3300,1,0
Tricentenario,La Sierra,A,M,madrugada,2,0,6.808,0,0,0,0.11,8,11,3300,1,0
Tricentenario,Vallejuelos,A,J,mañana_pico,3,0,6.864,0,0,0,0.92,3,18,3300,1,1
Prado,La Independencia,A,K,tarde_valle,4,0,6.436,0,0,0,0.31,7,14,3300,1,0
Exposiciones,Universidad,A,A,madrugada,6,0,3.666,1,0,0,0.14,14,14,3300,0,0
Loyola,Acevedo,T,A,noche,6,0,7.233,0,0,1,0.35,6,2,3300,1,0
Miraflores,Floresta,T,B,madrugada,2,0,4.621,0,1,0,0.12,15,5,3300,1,0
Bicentenario,Alpujarra,T,A,mañana_valle,4,0,2.795,0,0,0,0.36,4,15,3300,1,0
Andalucía,Universidad,K,A,madrugada,6,0,3.946,0,0,0,0.2,8,3,3300,1,0
Aguacatala,San Antonio,A,A,tarde_pico,4,0,5.007,1,0,1,0.82,5,2,3300,0,1
San Antonio,Miraflores,A,T,madrugada,4,0,1.095,0,1,1,0.13,15,10,3300,1,0
Bicentenario,Villa Sierra,T,K,noche,6,0,6.635,0,0,0,0.25,7,10,3300,1,0
Industriales,Acevedo,A,A,tarde_valle,6,0,7.896,1,0,1,0.39,9,11,3300,0,0
Acevedo,Tricentenario,A,A,tarde_valle,4,0,1.496,1,1,0,0.38,8,6,3300,0,0
Acevedo,Vallejuelos,A,J,madrugada,7,1,7.138,0,1,0,0.16,11,13,3300,1,0
Hospital,La Independencia,A,K,mañana_pico,5,0,5.716,0,0,0,0.9,2,14,3300,1,1
La Independencia,Villa Sierra,K,K,tarde_valle,3,0,0.988,1,0,0,0.48,5,11,3300,0,0
Aguacatala,Envigado,A,A,tarde_pico,2,0,3.1,1,0,0,0.87,4,15,3300,0,1
San Javier,Tricentenario,B,A,madrugada,4,0,5.93,0,1,0,0.16,9,3,3300,1,0
La Aurora,Industriales,J,A,tarde_valle,3,0,7.37,0,0,0,0.28,6,3,3300,1,0
Aguacatala,Suramericana,A,B,mañana_valle,2,0,5.148,0,0,0,0.41,8,10,3300,1,0
Arví,Vallejuelos,L,J,madrugada,6,0,15.002,0,0,0,0.18,12,4,3300,1,0
Prado,Envigado,A,A,madrugada,1,0,9.035,1,0,0,0.17,10,9,3300,0,0
Itagüí,Arví,A,L,mañana_pico,6,0,18.492,0,0,0,0.84,4,17,3300,1,1
Oriente,Ayurá,T,A,madrugada,1,0,8.588,0,0,0,0.16,12,2,3300,1,0
Niquía,Santa Lucía,A,B,mañana_pico,6,0,10.524,0,0,0,0.99,3,15,3300,1,1
Andalucía,Bicentenario,K,T,tarde_valle,1,0,6.52,0,0,0,0.28,9,5,3300,1,0
La Aurora,Madera,J,A,mañana_valle,5,0,7.675,0,0,0,0.44,7,5,3300,1,0
Madera,San Javier,A,B,mañana_valle,7,0,7.818,0,0,1,0.31,6,7,3300,1,0
Aguacatala,Universidad,A,A,mañana_valle,7,0,7.633,1,0,0,0.52,8,5,3300,0,0
Aguacatala,San Antonio,A,A,mañana_pico,4,0,5.007,1,0,1,0.76,4,14,3300,0,1
Aguacatala,Itagüí,A,A,mañana_pico,7,0,4.949,1,0,0,0.85,2,16,3300,0,1
Poblado,Exposiciones,A,A,tarde_pico,3,0,2.947,1,0,0,0.78,3,8,3300,0,1
Bello,Industriales,A,A,tarde_pico,3,0,11.539,1,0,0,0.77,2,9,3300,0,1
Santa Lucía,Vallejuelos,B,J,tarde_pico,6,0,3.9,0,0,0,0.95,4,1,3300,1,1
Hospital,Envigado,A,A,mañana_pico,5,0,9.747,1,0,0,0.99,4,2,3300,0,1
Universidad,Arví,A,L,tarde_pico,3,0,8.214,0,0,0,0.88,4,14,3300,1,1
Santo Domingo,Juan XXIII,K,J,madrugada,4,0,10.626,0,1,0,0.19,11,9,3300,1,0
Madera,Buenos Aires,A,T,madrugada,5,0,9.225,0,0,0,0.19,11,12,3300,1,0
Bicentenario,Tricentenario,T,A,noche,3,0,5.167,0,0,0,0.27,11,4,3300,1,1
La Estrella,Vallejuelos,A,J,mañana_valle,6,0,11.696,0,0,0,0.4,7,10,3300,1,0
Andalucía,Prado,K,A,mañana_pico,4,0,5.574,0,0,0,0.92,5,6,3300,1,1
Arví,Villa Sierra,L,K,mañana_valle,4,0,7.127,0,0,0,0.44,4,10,3300,1,0
Itagüí,Industriales,A,A,tarde_pico,7,0,7.643,1,0,0,0.86,5,15,3300,0,1
Buenos Aires,Industriales,T,A,tarde_valle,4,0,4.42,0,0,0,0.45,9,6,3300,1,0
Caribe,La Estrella,A,A,tarde_valle,6,0,14.303,1,0,0,0.41,6,3,3300,0,0
Aguacatala,San Javier,A,B,mañana_pico,7,1,6.666,0,0,1,0.76,3,16,3300,1,1
Arví,Tricentenario,L,A,tarde_pico,4,0,8.442,0,0,0,0.92,3,13,3300,1,1
Oriente,Miraflores,T,T,mañana_pico,2,0,3.637,1,0,1,0.91,2,4,3300,0,1
Bicentenario,Poblado,T,A,mañana_pico,7,0,5.054,0,0,0,0.88,2,18,3300,1,1
Aguacatala,Hospital,A,A,tarde_pico,2,0,6.795,1,0,0,0.9,4,15,3300,0,1
Arví,Juan XXIII,L,J,tarde_pico,7,0,14.215,0,0,0,0.81,3,16,3300,1,1
